id,Text,image,,,
0,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : kitchen,dining , drawing  , balcony",resized_images\image_0.png,,,
1,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 1 | features : Family Room, deck, terrace",resized_images\image_1.png,,,
2,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features :drawing room, dining, kitchen, rear lawn",resized_images\image_2.png,,,
3,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed, kitchen, deck",resized_images\image_3.png,,,
5,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : kitchen,drawing room  ,balcony",resized_images\image_5.png,,,
6,"bedrooms : 3 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features :  drawing room , balcony, kitchen",resized_images\image_6.png,,,
7,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen, terrace ,balcony",resized_images\image_7.png,,,
8,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, balcony, kitchen",resized_images\image_8.png,,,
10,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed, kitchen",resized_images\image_10.png,,,
11,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen",resized_images\image_11.png,,,
12,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen,balcony",resized_images\image_12.png,,,
13,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 2 | features : living room, dining, kitchen, balcony,pooja,utility,servant room",resized_images\image_13.png,,,
14,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing, kitchen, balcony",resized_images\image_14.png,,,
15,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, kitchen,dining,balcony",resized_images\image_15.png,,,
17,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, flower bed , balcony ,lobby",resized_images\image_17.png,,,
18,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features :  dining, kitchen",resized_images\image_18.png,,,
19,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, kitchen, balcony",resized_images\image_19.png,,,
20,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, utility,balcony",resized_images\image_20.png,,,
21,"bedrooms : 4 | toilet : 2 | attached _ toilet : 2 | dress _ room : 2 | features : powder room, dining, kitchen, balcony,pooja room , utility,lobby,foyer,staff block , family lonuge",resized_images\image_21.png,,,
22,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining, kitchen, balcony",resized_images\image_22.png,,,
23,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen,utility, courtyard",resized_images\image_23.png,,,
24,"bedrooms : 4 | toilet : 3 | attached _ toilet : 1 | dress _ room : 1 | features : lobby, dining, kitchen, balcony,store,rear countryard , front countryard",resized_images\image_24.png,,,
27,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features :  dining, kitchen, garden,verandah",resized_images\image_27.png,,,
30,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen,dining,balcony",resized_images\image_30.png,,,
31,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : drawing room, balcony, kitchen",resized_images\image_31.png,,,
33,"bedrooms : 4 | toilet : 3 | attached _ toilet : 2 | dress _ room : 2 | features : living room, dining, kitchen, balcony, rear lawn ,front lawn,drawing",resized_images\image_33.png,,,
34,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, verandah, kitchen",resized_images\image_34.png,,,
36,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony,lobby",resized_images\image_36.png,,,
37,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, balcony ,kitchen",resized_images\image_37.png,,,
38,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features :  dining, kitchen, study room",resized_images\image_38.png,,,
39,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : powder room, dining, kitchen, rear lawn, lobby",resized_images\image_39.png,,,
40,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : dining room, kitchen, balcony ,drawing room",resized_images\image_40.png,,,
44,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony, foyer , utility",resized_images\image_44.png,,,
45,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining,  kitchen",resized_images\image_45.png,,,
49,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : sitting , pantry",resized_images\image_49.png,,,
50,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, wash , balcony",resized_images\image_50.png,,,
51,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : parking , garden , foyer , living room",resized_images\image_51.png,,,
54,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony",resized_images\image_54.png,,,
55,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : wash ,kitchen , passage , walking space , hall",resized_images\image_55.png,,,
56,"bedrooms : 3 | toilet : 4 | attached _ toilet : 3 | dress _ room : 1 | features : living room, study room , powder room, kitchen, foyer, balcony , servant room , media room , utility",resized_images\image_56.png,,,
57,"bedrooms : 2 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : drawing room , dining , balcony, kitchen",resized_images\image_57.png,,,
60,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 1 | features : living room, balcony, kitchen",resized_images\image_60.png,,,
61,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 1 | features : living room, dining, kitchen, wash, balcony",resized_images\image_61.png,,,
63,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, utility, kitchen, balcony",resized_images\image_63.png,,,
64,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen, balcony",resized_images\image_64.png,,,
71,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 1 | features : living room, dining, kitchen, entry , utility , balcony",resized_images\image_71.png,,,
75,"bedrooms : 4 | toilet : 4 | attached _ toilet : 4 | dress _ room : 1 | features : living room,passage, kitchen, balcony,lobby",resized_images\image_75.png,,,
77,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen",resized_images\image_77.png,,,
